beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Brewers Ball Brut IPA With Tangerine,Last Wave Brewing Co.,IPA - Brut,6.8,0,"never had this type of ipa before. has a nice mouthfeel, citrusy and bubbly, almost has a taste of vanilla to it too. this is surprisingly refreshing",Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,1/17/2021 0:03,https://untappd.com/c/987702967,https://untappd.com/beer/4105136,https://untappd.com/brewery/342748,United States,Point Pleasant Beach,NJ,"citrusy,creamy,Tangerine",,Can,987702967,4105136,342748,https://untappd.s3.amazonaws.com/photos/2021_01_17/4e9b993fdb57592665f201a10bbbecc7_raw.jpg,3.59,3.65,,1,0
Alpenstock,Seven Tribesmen Brewery,Wheat Beer - American Pale Wheat,6.2,40,this place has got great beers. really refreshing wheat beer with subtle hop bitterness.,Seven Tribesmen Brewery,Wayne,NJ,United States,40.9229,-74.2691,4,1/20/2021 16:37,https://untappd.com/c/988465103,https://untappd.com/beer/4080400,https://untappd.com/brewery/459629,United States,Wayne,NJ,"malty,earthy,Wheat",,Draft,988465103,4080400,459629,https://untappd.s3.amazonaws.com/photos/2021_01_20/4ce2a9a9e7a92d2161cfe9d45718db56_raw.jpg,3.64,3.67,,0,0
Krampusz,Seven Tribesmen Brewery,Winter Ale,8.2,35,wow another one. the spice in this is not overpowering and compliments so well. dark and malty as well,Seven Tribesmen Brewery,Wayne,NJ,United States,40.9229,-74.2691,4,1/20/2021 16:56,https://untappd.com/c/988469170,https://untappd.com/beer/4080397,https://untappd.com/brewery/459629,United States,Wayne,NJ,"malty,warming,spiced",,Taster,988469170,4080397,459629,https://untappd.s3.amazonaws.com/photos/2021_01_20/2b31a98b8edd58d1759ee04635187d51_raw.jpg,3.87,3.75,,0,0
Hudson Hurdle,Seven Tribesmen Brewery,Sour - Fruited,5,15,delightfully tart and sour. finishes with a bit of malt. might be as good as my cranberry ginger gose 😉,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,1/29/2021 23:15,https://untappd.com/c/991326643,https://untappd.com/beer/4044400,https://untappd.com/brewery/459629,United States,Wayne,NJ,"clean,tart,Cranberry",,Crowler,991326643,4044400,459629,https://untappd.s3.amazonaws.com/photos/2021_01_30/715efb09913620438e7408c0f8b35886_raw.jpg,3.81,3.74,,0,0
Interstellar Fog,Captain Lawrence Brewing Company,IPA - Imperial / Double New England,8.5,0,this beer is ~stellar~,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.75,2/4/2021 21:42,https://untappd.com/c/992979836,https://untappd.com/beer/3427880,https://untappd.com/brewery/341,United States,Elmsford,NY,"floral,full,strong",,Can,992979836,3427880,341,https://untappd.s3.amazonaws.com/photos/2021_02_05/4d258cee3cd92cdb7c496871d617ac2b_raw.jpg,3.88,3.87,,0,0
Cara Cara Navel Orange Shabang,Tröegs Independent Brewing,Fruit Beer,7,0,this ones funky. borderline funky and tart which I like.,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.5,2/5/2021 22:49,https://untappd.com/c/993470768,https://untappd.com/beer/4098960,https://untappd.com/brewery/2583,United States,Hershey,PA,"sweet,smooth,Orange",,Crowler,993470768,4098960,2583,https://untappd.s3.amazonaws.com/photos/2021_02_06/37ac5a90927397c6ce321d4778988768_raw.jpg,3.82,3.78,,0,0
Lil' Juicy,Two Roads Brewing Company,IPA - New England,5.2,0,a very light yet hoppy ipa.,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.75,2/5/2021 23:34,https://untappd.com/c/993484330,https://untappd.com/beer/3037716,https://untappd.com/brewery/45815,United States,Stratford,CT,"light,dry-hop,juicy",,Can,993484330,3037716,45815,https://untappd.s3.amazonaws.com/photos/2021_02_06/1919ddba5dd3e3ff4950db2a127d0735_raw.jpg,3.76,3.76,,0,0
RecreationAle,Terrapin Beer Co. ,IPA - Session / India Session Ale,4.2,34,similar to previous post. very light yet flavorful ipa,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,3.75,2/6/2021 22:52,https://untappd.com/c/994113928,https://untappd.com/beer/354983,https://untappd.com/brewery/1243,United States,Athens,GA,"clean,light,hoppy",,Can,994113928,354983,1243,https://untappd.s3.amazonaws.com/photos/2021_02_07/e5fe3fb6597347c77513d5b1f11c4779_raw.jpg,3.58,3.58,,0,0
Luau Krunkles,Terrapin Beer Co. ,IPA - American,6.5,38,happy 300 checkins. and what a great way to celebrate with this beer. fruity undertones with class ipa bitterness. this is good.,,,,,,,3.75,2/6/2021 23:32,https://untappd.com/c/994125505,https://untappd.com/beer/1723706,https://untappd.com/brewery/1243,United States,Athens,GA,"citrusy,fruity,hoppy",,Can,994125505,1723706,1243,https://untappd.s3.amazonaws.com/photos/2021_02_07/70f024bea7f19bd588970654d29abdeb_raw.jpg,3.75,3.75,,0,0
Brunch So Hard,Evil Genius Beer Company,IPA - New England,6.5,52,orange and citrus undertones with pleasant bitterness. also the hashtags on this can make me chuckle,Untappd at Home,,Everywhere,United States,34.2347,-77.9482,4,2/7/2021 17:59,https://untappd.com/c/994400329,https://untappd.com/beer/3999032,https://untappd.com/brewery/16170,United States,Philadelphia,PA,"hoppy,citrus,mango",,Can,994400329,3999032,16170,https://untappd.s3.amazonaws.com/photos/2021_02_07/bda641ddf979e6afe35f187cff2ba62a_raw.jpg,3.69,3.69,,2,0
